제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_분류,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
예비 고2들을 위한 유산,,잘 받아둬라.,"ㅇㅇ(223.38) 2023.01.05 10:36:23
조회 502 추천 0 댓글 0",추천 0,조회 502,2023.01.05 10:36:23,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=67&page=1,지역,0.3750098943710327,0.5990803241729736,0.4117376506328583,0.5334990620613098,0.44221046566963196,0.6176702380180359,0.47302114963531494,0.5892531871795654,0.5006889700889587,0.4110714793205261,0.5725762248039246
싸지박자 게이들아,,딱좋노 이기,"10709서정호(116.127) 2022.12.02 22:35:39
조회 455 추천 2 댓글 1",추천 2,조회 455,2022.12.02 22:35:39,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=65&page=1,기타 혐오,0.3913125991821289,0.4720117151737213,0.40335366129875183,0.44219616055488586,0.34929120540618896,0.5894032716751099,0.48052865266799927,0.6223289370536804,0.5222558379173279,0.3614867031574249,0.46759986877441406
수성고 문이과 요약,,"이과: 공부 존나 열심히 하고 잘함 수원의 희망이자 자랑


문과:  남고까지 기어 쳐 들어왔으면서 과학 수학 존나 못함 공부는 더럽게 못하는데 또 더럽게 안해서 걍 반에서 쳐 놀거나 잠만 잠.
문과중에 공부 좀 한다는 애들보면 국영수 45뜨는데 탐구 123 쳐뜨는 허수가 대부분 애네는 걍 숙지고 문과수준이랑 삐까뜨는데 꼴에 수성뽕 차있어서 다른학교가면 123 가뿐히 뜨는줄 앎 ㅇ","ㅇㅇ(115.138) 2022.11.12 22:21:35
조회 1238 추천 12 댓글 2",추천 12,조회 1238,2022.11.12 22:21:35,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=64&page=1,성소수자,0.3910593092441559,0.43481525778770447,0.5927080512046814,0.4241611659526825,0.30369916558265686,0.4681481420993805,0.33855801820755005,0.5450397729873657,0.5441842675209045,0.4741188883781433,0.4405120611190796
수성 퇴물아니냐 이제?,,고색이 명문이다 ㅇㅇ,"고색고대표(112.221) 2022.10.09 18:15:08
조회 872 추천 0 댓글 3",추천 0,조회 872,2022.10.09 18:15:08,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=63&page=1,지역,0.4574209451675415,0.4754262864589691,0.42915403842926025,0.4886744022369385,0.38444724678993225,0.6453976035118103,0.48916417360305786,0.5614593625068665,0.47929829359054565,0.3371031582355499,0.5423820614814758
망갤테스트,,,"ㅇㅇ(14.47) 2022.07.27 22:20:44
조회 871 추천 19 댓글 0",추천 19,조회 871,2022.07.27 22:20:44,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=62&page=1,여성/가족,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
섹스하고싶다,,ㅇㅇ,"ㅇㅇ(112.159) 2022.07.24 00:53:27
조회 641 추천 3 댓글 1",추천 3,조회 641,2022.07.24 00:53:27,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=60&page=1,악플/욕설,0.3527768552303314,0.391679584980011,0.38230881094932556,0.4645081162452698,0.37009358406066895,0.5333956480026245,0.5120194554328918,0.5743261575698853,0.5922943353652954,0.3613134026527405,0.4554268717765808
고 1 서답형 난이도 이거 맞냐?,,시발,"ㅇㅇ(221.163) 2022.06.29 00:56:11
조회 545 추천 0 댓글 0",추천 0,조회 545,2022.06.29 00:56:11,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=59&page=1,기타 혐오,0.36732152104377747,0.4706781208515167,0.45062509179115295,0.6013244390487671,0.43031999468803406,0.5686445236206055,0.44652029871940613,0.6013882160186768,0.5547030568122864,0.38064101338386536,0.5414052605628967
유튜브 보고왓는데 여기가 그 반대항 고등학교맞냐? ㅋㅋㅋㅋ,,개지리네,"ㅇㅇ(118.39) 2022.06.14 22:00:32
조회 836 추천 4 댓글 2",추천 4,조회 836,2022.06.14 22:00:32,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=57&page=1,기타 혐오,0.39939823746681213,0.48434188961982727,0.40514320135116577,0.5117781162261963,0.36014801263809204,0.5856789946556091,0.43753480911254883,0.6290834546089172,0.5075070858001709,0.32629427313804626,0.5014384388923645
빡빡이들 왤케많음?,,여드름 좆돼지 빡빡이들 존나많네,"ㅇㅇ(211.36) 2022.05.26 19:52:57
조회 294 추천 0 댓글 0",추천 0,조회 294,2022.05.26 19:52:57,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=54&page=1,지역,0.39036309719085693,0.4859783351421356,0.38905850052833557,0.4899536371231079,0.4013723134994507,0.6116430759429932,0.4322848320007324,0.6057153344154358,0.514188826084137,0.4089636206626892,0.4786071181297302
오늘은 중력절이다,,1학년 핏덩이 잼민이 버러지 쓰레기들 모두 운지해라,"ㅇㅇ(211.114) 2022.05.23 08:45:31
조회 452 추천 9 댓글 1",추천 9,조회 452,2022.05.23 08:45:31,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=53&page=1,지역,0.3808062970638275,0.47808241844177246,0.4500355124473572,0.43716979026794434,0.35641810297966003,0.6210658550262451,0.48745056986808777,0.6064290404319763,0.5462961196899414,0.3359592854976654,0.48824432492256165
수성고 내신 쉬워요?,,ㅇ,"ㅠㅠ 2022.05.19 21:44:04
조회 891 추천 0 댓글 2",추천 0,조회 891,2022.05.19 21:44:04,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=52&page=1,악플/욕설,0.3436691462993622,0.4019637107849121,0.4162016808986664,0.507465124130249,0.40540269017219543,0.5473226308822632,0.4841731786727905,0.5891696214675903,0.5897398591041565,0.3669813573360443,0.47376707196235657
이제부터 여긴 동원고 갤러리다.,,,"ㅇㅇ(106.101) 2022.05.06 12:50:28
조회 836 추천 15 댓글 0",추천 15,조회 836,2022.05.06 12:50:28,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=51&page=1,여성/가족,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
노무현,,노무현,"ㅇㅇ(211.36) 2022.04.28 12:06:26
조회 421 추천 7 댓글 2",추천 7,조회 421,2022.04.28 12:06:26,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=50&page=2,지역,0.3512910306453705,0.46772605180740356,0.4249516725540161,0.44918251037597656,0.42116567492485046,0.5826943516731262,0.39863139390945435,0.5732153654098511,0.5405511856079102,0.41725480556488037,0.5106629133224487
1학년 핏덩이들 얼굴 왜 이렇게 삭았냐,,한번 삶았냐,"ㅇㅇ(58.122) 2022.04.23 22:12:40
조회 934 추천 11 댓글 2",추천 11,조회 934,2022.04.23 22:12:40,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=49&page=2,기타 혐오,0.4055563509464264,0.4086249768733978,0.43255650997161865,0.5170677304267883,0.3708191215991974,0.5784801840782166,0.46038222312927246,0.6367536783218384,0.4693168103694916,0.375906378030777,0.512851357460022
백두대간,,- dc official App,"ㅇㅇ(211.246) 2022.04.23 22:06:16
조회 157 추천 2 댓글 1",추천 2,조회 157,2022.04.23 22:06:16,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=48&page=2,기타 혐오,0.3721371293067932,0.4374190866947174,0.49757206439971924,0.4516105353832245,0.3276384472846985,0.5843014717102051,0.3862406015396118,0.5929543972015381,0.4305541217327118,0.39702674746513367,0.41079872846603394
억만년,,- dc official App,"ㅇㅇ(211.246) 2022.04.23 22:06:04
조회 46 추천 1 댓글 0",추천 1,조회 46,2022.04.23 22:06:04,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=47&page=2,기타 혐오,0.3721371293067932,0.4374190866947174,0.49757206439971924,0.4516105353832245,0.3276384472846985,0.5843014717102051,0.3862406015396118,0.5929543972015381,0.4305541217327118,0.39702674746513367,0.41079872846603394
다진 터전에,,- dc official App,"ㅇㅇ(211.246) 2022.04.23 22:05:54
조회 39 추천 0 댓글 0",추천 0,조회 39,2022.04.23 22:05:54,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=45&page=2,기타 혐오,0.3721371293067932,0.4374190866947174,0.49757206439971924,0.4516105353832245,0.3276384472846985,0.5843014717102051,0.3862406015396118,0.5929543972015381,0.4305541217327118,0.39702674746513367,0.41079872846603394
홍익인간,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:02:26
조회 36 추천 0 댓글 0",추천 0,조회 36,2022.04.23 22:02:26,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=44&page=2,기타 혐오,0.3721371293067932,0.4374190866947174,0.49757206439971924,0.4516105353832245,0.3276384472846985,0.5843014717102051,0.3862406015396118,0.5929543972015381,0.4305541217327118,0.39702674746513367,0.41079872846603394
위대한,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:02:19
조회 54 추천 0 댓글 0",추천 0,조회 54,2022.04.23 22:02:19,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=43&page=2,기타 혐오,0.3721371293067932,0.4374190866947174,0.49757206439971924,0.4516105353832245,0.3276384472846985,0.5843014717102051,0.3862406015396118,0.5929543972015381,0.4305541217327118,0.39702674746513367,0.41079872846603394
꿈을 심었네,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:02:13
조회 35 추천 0 댓글 0",추천 0,조회 35,2022.04.23 22:02:13,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=42&page=2,기타 혐오,0.3721371293067932,0.4374190866947174,0.49757206439971924,0.4516105353832245,0.3276384472846985,0.5843014717102051,0.3862406015396118,0.5929543972015381,0.4305541217327118,0.39702674746513367,0.41079872846603394
