페이지,게시글번호,말머리,제목,내용,글쓴이,추천수,조회수,날짜,링크
4,2789,,오늘의 노래 추천 두번째,"https://youtu.be/_6pE_zFl5gM
요즘 한 아티스트에 빠졌음","Pepsi-Man 2023.02.02 22:35:31
스크랩 조회 149 추천 0 댓글 1",0,149,2023.02.02 22:35:31,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2789&page=4
4,2788,,오늘의 노래 추천,"https://youtu.be/keHCyPRp7DM
뮤즈 웸블리 스타디움에서 공연한거 다음 좋아하는 라이브","Pepsi-Man 2023.02.02 20:16:06
스크랩 조회 102 추천 0 댓글 0",0,102,2023.02.02 20:16:06,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2788&page=4
4,2787,,이번학기 등록금 단 4천원,"ㅅㅅ
- dc official App","예상왕김예상 2023.01.31 23:19:04
스크랩 조회 267 추천 0 댓글 1",0,267,2023.01.31 23:19:04,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2787&page=4
4,2786,,오늘의 노래 추천,"https://youtu.be/4K8oGplWiUI

좋음","Pepsi-Man 2023.01.28 01:35:06
스크랩 조회 118 추천 0 댓글 0",0,118,2023.01.28 01:35:06,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2786&page=4
4,2785,,내 밑으로 줄서면,치킨쏨,"23회졸업생(182.212) 2023.01.25 21:25:58
스크랩 조회 187 추천 0 댓글 1",0,187,2023.01.25 21:25:58,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2785&page=4
4,2784,,후배야 미안하다...,이딴 놈들만 있어서 미안하다...,"Pepsi-Man 2023.01.22 22:23:28
스크랩 조회 342 추천 0 댓글 2",0,342,2023.01.22 22:23:28,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2784&page=4
4,2783,,"선배님들,,, 진주 주변에 놀곳 추천받습니다,,,,","명신고 선배님들,, 진주에 놀 곳 추천받아요,,, 2월 중반 쯤에 갈것같은데 제가 밖에 잘 안나가는 성격이라 어디서 놀아야 할지 모르겠어요,,
남자 2명이랑 여자 2명이서 놀거 생각중인데 밤 늦게까진 안놀것같아요,, (다 성인이에요)

생각중인게, 롯데몰 아니면 경상대 주변 놀 곳 생각중이었는데 
롯데시네마는 2월 중순쯤에 볼만한 영화도 없는것같구 롯데몰에서도 딱히 할게 없을것같아요,,,,
경상대 주변에서 보드게임카페 생각중인데, 주변에 뭐가있는지 잘 모르겠어서,, 근처 노래방, 카페, 맛집 같은 문화시설 알려주시면 감사하겠습니다,,,

이거 말고도 진주 근처 어디든 상관없으니 할만한거 추천해주시면 감사하겠습니다 ( _ _ )","애실라(58.122) 2023.01.22 17:37:32
스크랩 조회 1036 추천 0 댓글 9",0,1036,2023.01.22 17:37:32,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2783&page=4
4,2782,,오늘의 노래 추천,"https://youtu.be/ROQuQYljHGI
그때 UCC 감성에 맞는 노래","Pepsi-Man 2023.01.20 02:42:22
스크랩 조회 145 추천 0 댓글 1",0,145,2023.01.20 02:42:22,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2782&page=4
4,2781,,오늘의 노래 추천,"https://youtu.be/PWgvGjAhvIw
유명한 노래","Pepsi-Man 2023.01.19 03:03:22
스크랩 조회 103 추천 0 댓글 0",0,103,2023.01.19 03:03:22,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2781&page=4
4,2780,,여기 다들 몇살이냐,제곧내,"ㅇㅇ(121.156) 2023.01.14 23:58:29
스크랩 조회 211 추천 0 댓글 1",0,211,2023.01.14 23:58:29,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2780&page=4
4,2779,,오늘의 노래 추천,"https://youtu.be/5vBGOrI6yBk
유튜브 피셜 불쾌","Pepsi-Man 2023.01.11 01:05:15
스크랩 조회 180 추천 0 댓글 1",0,180,2023.01.11 01:05:15,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2779&page=4
